id,salary_in_usd
0,69659.17655903817
1,124859.37105903246
2,124859.37105903246
3,48264.53378961108
4,10720.24992781908
5,96204.80562539255
6,293833.799069222
7,54572.129433224596
8,73878.90044657163
9,175955.05726694877
10,52565.95880239753
11,164809.15433817648
12,68193.07532695921
13,59112.44060392219
14,74035.20800658711
15,62756.845468517575
16,112051.47536941987
17,138527.87668202978
18,33601.32860471927
19,178489.95107712792
20,143494.16410849016
21,62008.503298857184
22,73205.3388833557
23,141094.5686236908
24,8524.32034044314
25,14293.21259923761
26,84410.12555066234
27,170975.23664300685
28,44780.15279856094
29,133482.11761726622
30,102267.90035688941
31,118153.86850533988
32,151839.9383411751
33,72654.59487586824
34,4065.5333024949796
35,68798.03373893257
36,132603.82026949894
37,51430.51602846332
38,52617.12985770457
39,178876.74958097178
40,26422.105593333792
41,25617.26520891105
42,187526.40809943917
43,186061.4894809676
44,63568.36986640744
45,152841.98580876214
46,80811.27889050874
47,65684.87262132688
48,118153.86850533988
49,61039.408497913544
50,104503.08717459689
51,34165.681701367066
52,123251.79726290057
53,140223.7197695338
54,107821.79473174083
55,100663.59070722386
56,167203.32610753132
57,146433.94204215487
58,114761.64592581138
59,135261.68060218336
60,114761.64592581138
61,224481.98855846666
62,135261.68060218336
63,140495.21340078715
64,180746.35983627583
65,167203.32610753132
66,167203.32610753132
67,135261.68060218336
68,109122.49587563719
69,92084.71860049694
70,123251.79726290057
71,180696.25920200354
72,57904.38977930505
73,76272.61744436526
74,79620.63031760529
75,134009.84407610426
76,77574.64911225607
77,84263.74548605789
78,129959.59219179256
79,97914.1337829494
80,26013.858562764362
81,40513.855008367565
82,129015.29248748861
83,107815.28528345384
84,111377.38456263603
85,61031.31709134124
86,61031.31709134124
87,167203.32610753132
88,135261.68060218336
89,23192.748923833104
90,41556.29930679023
91,61766.81922232468
92,89733.69099064851
93,41988.94381384003
94,135261.68060218336
95,127578.31717902383
96,31642.555004355963
97,77826.30791840449
98,62931.4066077476
99,140495.21340078715
100,135261.68060218336
101,114761.64592581138
102,114761.64592581138
103,167203.32610753132
104,167203.32610753132
105,45534.00558765617
106,109122.49587563719
