id,salary_in_usd
0,90424.35653211529
1,165522.5536996034
2,165522.5536996034
3,29049.264223102375
4,28887.64123480514
5,44921.11642879056
6,93888.73790096758
7,62156.04411761332
8,57821.03001555848
9,207284.52324463983
10,32318.940135375684
11,170996.70908185167
12,88784.8163023435
13,44334.104432089465
14,41906.902437235665
15,55103.504608633295
16,112934.10044365571
17,172967.56627941367
18,11816.490137951385
19,82492.45168279909
20,65746.48330063726
21,56405.819785284264
22,59783.505306855564
23,180416.1426581871
24,3161.731498107453
25,19177.27158899776
26,95609.84732257001
27,174852.4452475464
28,151537.6090613824
29,64972.16781967163
30,40149.80275003579
31,105917.5470813612
32,80918.2740661068
33,48786.18670609199
34,25384.403661039545
35,73149.46308372435
36,180416.1426581871
37,14603.333616825761
38,31272.971126205517
39,200423.9668378492
40,32318.940135375684
41,18318.795996000914
42,165864.4532947669
43,170728.360558002
44,86619.70258803328
45,213282.54390130317
46,157299.2445943581
47,31272.971126205517
48,105917.5470813612
49,11816.490137951385
50,117102.67162088287
51,67549.83119046513
52,141387.90557548063
53,180916.85643721253
54,93239.63395980882
55,66242.43278865756
56,149122.46521558362
57,157424.34152156214
58,116336.68524097426
59,177539.78993682849
60,116336.68524097426
61,220145.63004602215
62,177539.78993682849
63,153359.47319316096
64,153359.47319316096
65,116336.68524097426
66,116336.68524097426
67,177539.78993682849
68,102722.48386476435
69,66242.43278865756
70,141387.90557548063
71,211258.42730359468
72,70269.98339888811
73,65782.83821697689
74,84641.26224326158
75,141833.32948230085
76,98740.56104562002
77,81698.92357669653
78,110703.03238579418
79,135506.42405150563
80,40794.042812818174
81,52024.56391043155
82,111714.33382274881
83,160994.68832730642
84,115525.84102979311
85,61192.8471409768
86,61192.8471409768
87,149122.46521558362
88,177539.78993682849
89,26824.432281835605
90,37983.15942090517
91,60284.150449804576
92,83922.75944073257
93,42270.81028666449
94,177539.78993682849
95,105889.31825722611
96,90078.29256327613
97,77670.92767952385
98,55092.316520142165
99,153359.47319316096
100,177539.78993682849
101,116336.68524097426
102,116336.68524097426
103,116336.68524097426
104,149122.46521558362
105,30604.122192988973
106,102722.48386476435
