id,salary_in_usd
0,117874.73158504289
1,165100.4590569998
2,110230.63687769571
3,66010.88232109073
4,58386.754753634676
5,117874.73158504289
6,142603.2964767426
7,40092.1734867914
8,48839.11077407717
9,204163.05434792646
10,35456.59650049604
11,215435.49374380283
12,45517.59348560117
13,21964.21928033642
14,112419.56429117432
15,51663.273802168456
16,94162.2394866258
17,173381.8742238371
18,21659.67496472068
19,43527.50150624148
20,74763.087954996
21,45279.92334266033
22,75143.16605652992
23,142236.30180360124
24,33764.04491322498
25,32139.205740515572
26,111741.47021557661
27,173873.94114030318
28,39548.67427964785
29,140853.0818479389
30,135973.23402891503
31,169164.2161575526
32,138674.4973950804
33,43727.82967953966
34,74763.42534662614
35,39963.865359999145
36,142236.30180360124
37,28633.436174794762
38,74763.42534662614
39,193490.60344257724
40,7578.802657041744
41,42898.16682650629
42,115068.5657177104
43,183771.56357115068
44,104551.90698465411
45,243921.39744935842
46,116950.72009165624
47,25953.986906601735
48,169164.2161575526
49,33764.04491322498
50,156134.55034062595
51,51741.60722639603
52,125391.20791956504
53,139824.69495028965
54,93869.70188494302
55,71455.03206189413
56,155096.4462978006
57,137216.16642634352
58,110032.52822169839
59,152371.76320041507
60,110032.52822169839
61,210994.47632669588
62,152371.76320041507
63,145891.93387002032
64,179995.0398154322
65,152371.76320041507
66,152371.76320041507
67,152371.76320041507
68,107540.43506928561
69,92754.48941158556
70,134236.84032044836
71,201666.5314541078
72,57754.36247854635
73,76584.65152967346
74,117724.58131668056
75,134236.84032044836
76,76584.65152967346
77,76584.65152967346
78,119211.6486279941
79,183390.38022700208
80,76584.65152967346
81,83190.41192914514
82,180160.92167828782
83,382534.0160243081
84,95469.82033680231
85,60218.37804314436
86,60218.37804314436
87,155096.4462978006
88,152371.76320041507
89,44010.030514943894
90,45764.75426358725
91,83190.41192914514
92,90697.0365886887
93,56388.345942857355
94,152371.76320041507
95,372935.5631864417
96,24416.13201909566
97,68651.37040035668
98,57681.283706230555
99,145891.93387002032
100,152371.76320041507
101,110032.52822169839
102,110032.52822169839
103,152371.76320041507
104,155096.4462978006
105,54308.72706978637
106,107540.43506928561
